,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.1300,0.0130,0.0001,0.0000,0.0000,0.0000,0.0000,0.2163
DCC_joint,,0.1300,,0.1497,0.0002,0.0000,0.0000,0.0000,0.0001,0.7397
DCC_bivariate_loop,,0.0130,0.1497,,0.0045,0.0000,0.0000,0.0000,0.0008,0.0917
SW_cross_validated,,0.0001,0.0002,0.0045,,0.0000,0.0000,0.0012,0.3715,0.0002
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,,0.0188,0.0000
SW_120,,0.0000,0.0001,0.0008,0.3715,0.0000,0.0000,0.0188,,0.0000
sFC,,0.2163,0.7397,0.0917,0.0002,0.0000,0.0000,0.0000,0.0000,
