,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.3167e-01,4.6238e-01,7.7589e-01,3.8171e-02,9.7712e-01,9.8865e-01,2.9397e-06,1.4406e-06
DCC_joint,,1.3167e-01,,7.4123e-02,2.6828e-02,1.7898e-01,9.7518e-03,1.0232e-02,3.0759e-10,2.6743e-12
DCC_bivariate_loop,,4.6238e-01,7.4123e-02,,4.0841e-01,1.3355e-02,1.7815e-01,1.8568e-01,2.6492e-11,2.3166e-13
SW_cross_validated,,7.7589e-01,2.6828e-02,4.0841e-01,,5.8840e-03,6.0607e-01,6.2234e-01,2.8152e-10,1.6895e-11
SW_15,,3.8171e-02,1.7898e-01,1.3355e-02,5.8840e-03,,2.5577e-03,2.6609e-03,1.5398e-06,2.3935e-07
SW_30,,9.7712e-01,9.7518e-03,1.7815e-01,6.0607e-01,2.5577e-03,,9.8137e-01,2.9704e-10,2.4524e-11
SW_60,,9.8865e-01,1.0232e-02,1.8568e-01,6.2234e-01,2.6609e-03,9.8137e-01,,2.9817e-10,2.4338e-11
SW_120,,2.9397e-06,3.0759e-10,2.6492e-11,2.8152e-10,1.5398e-06,2.9704e-10,2.9817e-10,,6.5262e-01
sFC,,1.4406e-06,2.6743e-12,2.3166e-13,1.6895e-11,2.3935e-07,2.4524e-11,2.4338e-11,6.5262e-01,
