,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092
DCC_joint,nan,2.002,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.2140
DCC_bivariate_loop,nan,1.8783,-0.1024,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.2195
SW_cross_validated,nan,-12.3495,-17.4387,-16.8603,-,0.0000,0.0001,1.,0.3501,0.0000
SW_15,nan,-27.615,-34.8321,-33.9525,-18.1555,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-16.9416,-21.7671,-21.2396,-6.5638,9.9735,-,0.0005,0.0000,0.0000
SW_60,nan,-10.1297,-13.4505,-13.1365,0.3516,15.4686,5.8738,-,1.,0.0000
SW_120,nan,-7.4547,-10.2218,-9.9828,2.8913,17.3259,8.0105,2.225,-,0.0000
sFC,nan,4.5355,3.1176,3.1062,22.5088,40.8345,26.0402,16.6051,12.9586,-
