,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.2366,0.0275,0.9275,0.0012,1.,1.,0.3456,1.
DCC_joint,nan,3.0718,-,1.,0.0002,0.0000,0.1154,0.0887,0.0001,0.5133
DCC_bivariate_loop,nan,4.0434,1.3086,-,0.0000,0.0000,0.0361,0.0200,0.0000,0.0078
SW_cross_validated,nan,-2.4304,-6.2935,-7.3768,-,0.0263,1.,1.,1.,0.0011
SW_15,nan,-5.4682,-7.5718,-8.1163,-4.062,-,0.2603,0.036,0.0537,0.0001
SW_30,nan,-1.5951,-3.398,-3.9208,-0.1401,3.028,-,1.,1.,0.5438
SW_60,nan,-1.2362,-3.5165,-4.1855,0.5574,3.9221,0.5157,-,1.,0.5923
SW_120,nan,-2.8973,-6.8051,-7.8769,-0.5136,3.7424,-0.1614,-0.9243,-,0.0003
sFC,nan,1.8289,-2.7128,-4.6088,5.5031,7.0092,2.6857,2.6452,6.0935,-
