,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.3054,0.0288,0.0109,0.0000,0.0021,0.0236,0.0000,0.0000
DCC_joint,,0.3054,,0.1997,0.0436,0.0000,0.0117,0.2080,0.0000,0.0000
DCC_bivariate_loop,,0.0288,0.1997,,0.2077,0.0000,0.0876,0.8625,0.0006,0.0000
SW_cross_validated,,0.0109,0.0436,0.2077,,0.0002,0.8203,0.1590,0.2978,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0002,,0.0001,0.0000,0.0001,0.0000
SW_30,,0.0021,0.0117,0.0876,0.8203,0.0001,,0.0570,0.3674,0.0000
SW_60,,0.0236,0.2080,0.8625,0.1590,0.0000,0.0570,,0.0001,0.0000
SW_120,,0.0000,0.0000,0.0006,0.2978,0.0001,0.3674,0.0001,,0.0000
sFC,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
