,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.329,0.378,0.660,0.379,1.325,1.294,1.294,0.843,0.854,0.570,0.570
1,0.968,1.421,0.120,0.368,0.534,1.294,1.294,1.146,0.427,0.570,0.570
2,0.664,1.600,1.161,0.601,0.700,1.294,1.294,1.605,1.379,0.570,0.570
3,1.518,1.298,1.178,0.353,0.264,1.294,1.294,1.052,0.737,0.570,0.570
4,1.297,0.327,1.187,0.275,0.397,1.294,1.294,0.986,0.647,0.570,0.570
5,0.876,1.709,0.645,0.360,0.394,1.294,1.294,0.841,1.477,0.570,0.570
6,0.817,0.776,0.743,0.355,0.131,1.294,1.294,1.070,0.428,0.570,0.570
7,0.734,0.749,1.425,1.129,0.837,1.294,1.294,0.828,1.001,0.570,0.570
8,1.695,1.478,1.257,0.361,0.227,1.294,1.294,1.356,1.147,0.570,0.570
9,0.863,1.603,0.549,0.376,1.294,1.294,1.294,1.053,0.957,0.570,0.570
