,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.079,0.106,0.140,0.194,0.239,0.311,0.369,0.205,0.186,0.152,0.107,0.190
DCC_joint,0.043,0.213,0.149,0.198,0.218,0.236,0.247,0.188,0.193,0.158,0.149,0.181
DCC_bivariate_loop,0.054,0.216,0.194,0.240,0.242,0.239,0.257,0.192,0.225,0.166,0.152,0.198
SW_cross_validated,0.148,0.132,0.156,0.205,0.231,0.272,0.337,0.215,0.183,0.168,0.136,0.198
SW_15,0.272,0.301,0.304,0.313,0.291,0.289,0.286,0.295,0.306,0.292,0.288,0.294
SW_30,0.194,0.224,0.225,0.235,0.205,0.197,0.194,0.206,0.232,0.227,0.203,0.213
SW_60,0.165,0.166,0.163,0.188,0.172,0.220,0.267,0.183,0.199,0.176,0.155,0.187
SW_120,0.134,0.131,0.148,0.224,0.322,0.402,0.447,0.227,0.181,0.171,0.121,0.228
sFC,0.047,0.053,0.362,0.364,0.361,0.358,0.360,0.203,0.416,0.129,0.161,0.256
