,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.40,1.03,1.08,10.08,4.77,1.48,1.22,-1.51
DCC_joint,,0.40,,0.70,0.78,11.28,4.93,1.24,0.94,-2.19
DCC_bivariate_loop,,1.03,0.70,,0.18,11.96,4.72,0.71,0.38,-3.15
SW_cross_validated,,1.08,0.78,0.18,,9.98,4.05,0.49,0.18,-2.92
SW_15,,10.08,11.28,11.96,9.98,,-5.08,-8.71,-9.29,-14.06
SW_30,,4.77,4.93,4.72,4.05,-5.08,,-3.35,-3.73,-7.09
SW_60,,1.48,1.24,0.71,0.49,-8.71,-3.35,,-0.30,-3.25
SW_120,,1.22,0.94,0.38,0.18,-9.29,-3.73,-0.30,,-2.99
sFC,,-1.51,-2.19,-3.15,-2.92,-14.06,-7.09,-3.25,-2.99,
