,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-2.02,-1.88,4.38,20.49,9.82,5.11,4.82,-0.06
DCC_joint,,-2.02,,0.00,6.81,35.51,16.07,8.28,8.75,2.36
DCC_bivariate_loop,,-1.88,0.00,,6.47,29.63,14.30,7.71,7.92,2.13
SW_cross_validated,,4.38,6.81,6.47,,11.45,3.44,0.17,-0.59,-4.83
SW_15,,20.49,35.51,29.63,11.45,,-12.64,-13.47,-17.91,-25.49
SW_30,,9.82,16.07,14.30,3.44,-12.64,,-3.76,-5.50,-11.61
SW_60,,5.11,8.28,7.71,0.17,-13.47,-3.76,,-0.89,-5.77
SW_120,,4.82,8.75,7.92,-0.59,-17.91,-5.50,-0.89,,-5.64
sFC,,-0.06,2.36,2.13,-4.83,-25.49,-11.61,-5.77,-5.64,
