,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.1321,0.4079,0.0231,0.0000,0.0000,0.0001,0.0127,1.
DCC_joint,nan,3.337,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,2.8204,-0.7717,-,0.0000,0.0000,0.0000,0.0000,0.0000,1.
SW_cross_validated,nan,-4.1204,-9.0715,-8.5041,-,0.0000,0.0012,1.,1.,0.0000
SW_15,nan,-16.405,-32.6508,-31.876,-12.8714,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-9.9023,-21.8515,-21.0377,-5.4693,13.4784,-,0.0009,0.0000,0.0000
SW_60,nan,-6.5279,-15.3432,-14.5683,-1.8079,17.4406,5.6408,-,0.1542,0.0000
SW_120,nan,-4.3915,-11.6681,-10.9119,0.4967,19.9994,8.8935,3.2669,-,0.0000
sFC,nan,2.3316,-1.6407,-0.835,8.1128,33.084,21.4685,14.4801,10.6073,-
