,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0001,0.0000,0.7546,0.0007,0.0000,0.0005,0.2008,0.5586
DCC_joint,,0.0001,,0.0753,0.0027,0.6592,0.0177,0.2014,0.0000,0.0002
DCC_bivariate_loop,,0.0000,0.0753,,0.0002,0.0431,0.6804,0.8979,0.0000,0.0000
SW_cross_validated,,0.7546,0.0027,0.0002,,0.0076,0.0001,0.0016,0.6741,0.5323
SW_15,,0.0007,0.6592,0.0431,0.0076,,0.0099,0.1309,0.0001,0.0016
SW_30,,0.0000,0.0177,0.6804,0.0001,0.0099,,0.6426,0.0000,0.0000
SW_60,,0.0005,0.2014,0.8979,0.0016,0.1309,0.6426,,0.0001,0.0009
SW_120,,0.2008,0.0000,0.0000,0.6741,0.0001,0.0000,0.0001,,0.0734
sFC,,0.5586,0.0002,0.0000,0.5323,0.0016,0.0000,0.0009,0.0734,
