,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.58,0.83,0.17,0.26,0.33,0.51,0.49,4.06
DCC_joint,,0.58,,0.78,0.46,1.89,0.59,0.01,0.00,15.71
DCC_bivariate_loop,,0.83,0.78,,0.78,2.52,1.25,0.43,0.35,17.65
SW_cross_validated,,0.17,0.46,0.78,,0.57,0.16,0.38,0.36,5.36
SW_15,,0.26,1.89,2.52,0.57,,1.23,1.23,1.09,8.96
SW_30,,0.33,0.59,1.25,0.16,1.23,,0.35,0.32,11.88
SW_60,,0.51,0.01,0.43,0.38,1.23,0.35,,0.01,7.72
SW_120,,0.49,0.00,0.35,0.36,1.09,0.32,0.01,,6.51
sFC,,4.06,15.71,17.65,5.36,8.96,11.88,7.72,6.51,
