,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.2517,0.3617,0.0009,0.0000,0.0000,0.0000,0.0061,0.0000
DCC_joint,,0.2517,,0.4521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,,0.3617,0.4521,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,,0.0009,0.0000,0.0000,,0.0000,0.0000,0.4703,0.1217,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0000,0.4703,0.0000,0.0000,,0.0021,0.0000
SW_120,,0.0061,0.0000,0.0000,0.1217,0.0000,0.0000,0.0021,,0.0000
sFC,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
