,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,0.000,0.008,0.016,0.027,,,0.219,0.009,0.061,,0.049
DCC_joint,,0.000,0.018,0.024,0.039,,,0.042,0.013,0.190,,0.046
DCC_bivariate_loop,,0.000,0.009,0.019,0.029,,,0.033,0.012,0.229,,0.047
SW_cross_validated,,0.000,0.010,0.024,0.025,0.059,0.169,0.100,0.008,0.147,0.036,0.058
SW_15,,0.000,0.013,0.021,0.018,0.025,0.027,0.026,0.017,0.161,0.108,0.042
SW_30,,0.000,0.013,0.016,0.023,0.017,0.022,0.034,0.018,0.153,0.087,0.038
SW_60,,0.000,0.007,0.014,0.032,0.034,0.063,0.049,0.011,0.122,0.088,0.042
SW_120,,0.000,0.007,0.048,0.082,0.080,0.109,0.105,0.006,0.147,0.097,0.068
sFC,,,,,,,,,,,,
