,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.1575e-01,1.5149e-06,1.0281e-05,1.1945e-16,5.2563e-14,1.7117e-05,1.3346e-09,1.4299e-01
DCC_joint,,2.1575e-01,,4.7724e-05,7.4655e-06,2.7232e-16,4.1991e-13,1.2287e-05,4.4360e-09,2.9821e-02
DCC_bivariate_loop,,1.5149e-06,4.7724e-05,,9.3974e-09,1.1377e-16,6.2747e-14,1.1349e-08,4.6659e-11,4.2310e-07
SW_cross_validated,,1.0281e-05,7.4655e-06,9.3974e-09,,4.2230e-14,3.9129e-08,6.7262e-01,1.8216e-02,9.0388e-05
SW_15,,1.1945e-16,2.7232e-16,1.1377e-16,4.2230e-14,,8.1230e-12,2.2364e-14,5.9840e-14,2.3635e-16
SW_30,,5.2563e-14,4.1991e-13,6.2747e-14,3.9129e-08,8.1230e-12,,1.0251e-08,5.8706e-07,2.8376e-13
SW_60,,1.7117e-05,1.2287e-05,1.1349e-08,6.7262e-01,2.2364e-14,1.0251e-08,,5.1431e-03,1.7452e-04
SW_120,,1.3346e-09,4.4360e-09,4.6659e-11,1.8216e-02,5.9840e-14,5.8706e-07,5.1431e-03,,1.2987e-08
sFC,,1.4299e-01,2.9821e-02,4.2310e-07,9.0388e-05,2.3635e-16,2.8376e-13,1.7452e-04,1.2987e-08,
