,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,8.3173e-01,4.0345e-01,7.9933e-03,3.2768e-12,3.2420e-09,6.0504e-06,4.9720e-04,9.8188e-01
DCC_joint,,8.3173e-01,,3.6622e-01,1.1678e-03,5.9187e-15,3.6936e-12,6.2517e-08,2.6288e-05,8.0776e-01
DCC_bivariate_loop,,4.0345e-01,3.6622e-01,,7.0084e-03,9.1599e-15,8.1639e-12,2.4832e-07,1.4189e-04,2.9513e-01
SW_cross_validated,,7.9933e-03,1.1678e-03,7.0084e-03,,7.2599e-13,4.7220e-09,4.3173e-04,1.1970e-01,1.5234e-03
SW_15,,3.2768e-12,5.9187e-15,9.1599e-15,7.2599e-13,,6.7675e-09,2.2193e-11,4.4275e-12,3.5728e-14
SW_30,,3.2420e-09,3.6936e-12,8.1639e-12,4.7220e-09,6.7675e-09,,7.2440e-06,1.0762e-07,2.6886e-11
SW_60,,6.0504e-06,6.2517e-08,2.4832e-07,4.3173e-04,2.2193e-11,7.2440e-06,,2.0096e-02,1.9774e-07
SW_120,,4.9720e-04,2.6288e-05,1.4189e-04,1.1970e-01,4.4275e-12,1.0762e-07,2.0096e-02,,4.7315e-05
sFC,,9.8188e-01,8.0776e-01,2.9513e-01,1.5234e-03,3.5728e-14,2.6886e-11,1.9774e-07,4.7315e-05,
