,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.49,2.30,7.01,27.64,19.13,13.43,9.50,2.35
DCC_joint,,1.49,,0.99,6.48,30.67,21.14,14.72,9.59,1.05
DCC_bivariate_loop,,2.30,0.99,,5.38,28.78,19.33,12.87,8.16,0.06
SW_cross_validated,,7.01,6.48,5.38,,22.21,12.57,5.64,1.82,-5.31
SW_15,,27.64,30.67,28.78,22.21,,-12.08,-22.47,-23.94,-28.67
SW_30,,19.13,21.14,19.33,12.57,-12.08,,-10.18,-12.95,-19.22
SW_60,,13.43,14.72,12.87,5.64,-22.47,-10.18,,-4.64,-12.76
SW_120,,9.50,9.59,8.16,1.82,-23.94,-12.95,-4.64,,-8.07
sFC,,2.35,1.05,0.06,-5.31,-28.67,-19.22,-12.76,-8.07,
