,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.99,1.15,5.66,38.22,18.09,13.28,7.24,1.45
DCC_joint,,0.99,,0.24,4.67,34.25,16.34,11.34,6.21,0.50
DCC_bivariate_loop,,1.15,0.24,,4.21,31.05,15.10,10.13,5.68,0.24
SW_cross_validated,,5.66,4.67,4.21,,22.25,9.51,4.30,1.41,-4.05
SW_15,,38.22,34.25,31.05,22.25,,-12.22,-22.46,-20.06,-31.34
SW_30,,18.09,16.34,15.10,9.51,-12.22,,-6.71,-7.85,-15.08
SW_60,,13.28,11.34,10.13,4.30,-22.46,-6.71,,-2.56,-10.06
SW_120,,7.24,6.21,5.68,1.41,-20.06,-7.85,-2.56,,-5.54
sFC,,1.45,0.50,0.24,-4.05,-31.34,-15.08,-10.06,-5.54,
