,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.35,0.66,2.91,6.49,4.64,3.40,2.82,0.88
DCC_joint,,1.35,,0.97,5.47,9.13,7.42,6.60,5.50,0.18
DCC_bivariate_loop,,0.66,0.97,,4.52,8.34,6.51,5.46,4.50,0.44
SW_cross_validated,,2.91,5.47,4.52,,4.36,2.10,0.33,0.19,3.68
SW_15,,6.49,9.13,8.34,4.36,,2.40,4.36,4.61,7.01
SW_30,,4.64,7.42,6.51,2.10,2.40,,1.96,2.33,5.28
SW_60,,3.40,6.60,5.46,0.33,4.36,1.96,,0.55,4.16
SW_120,,2.82,5.50,4.50,0.19,4.61,2.33,0.55,,3.61
sFC,,0.88,0.18,0.44,3.68,7.01,5.28,4.16,3.61,
