,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.1933,0.1627,0.0000,0.0000,0.0000,0.0000,0.0000,0.3077
DCC_joint,,0.1933,,0.6513,0.0001,0.0000,0.0000,0.0000,0.0000,0.7978
DCC_bivariate_loop,,0.1627,0.6513,,0.0013,0.0000,0.0000,0.0000,0.0008,0.5408
SW_cross_validated,,0.0000,0.0001,0.0013,,0.0000,0.0002,0.0925,0.7641,0.0001
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0007,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0002,0.0007,,0.0016,0.0005,0.0000
SW_60,,0.0000,0.0000,0.0000,0.0925,0.0000,0.0016,,0.1866,0.0000
SW_120,,0.0000,0.0000,0.0008,0.7641,0.0000,0.0005,0.1866,,0.0001
sFC,,0.3077,0.7978,0.5408,0.0001,0.0000,0.0000,0.0000,0.0001,
