,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.36,3.41,0.96,7.76,3.75,1.53,1.25,32.76
DCC_joint,,5.36,,-3.27,-4.85,2.57,-2.56,-5.34,-4.42,37.51
DCC_bivariate_loop,,3.41,-3.27,,-2.62,7.05,0.68,-2.74,-2.16,59.63
SW_cross_validated,,0.96,-4.85,-2.62,,7.61,3.02,0.50,0.34,37.55
SW_15,,7.76,2.57,7.05,7.61,,-5.95,-9.12,-7.07,45.13
SW_30,,3.75,-2.56,0.68,3.02,-5.95,,-3.21,-2.58,51.61
SW_60,,1.53,-5.34,-2.74,0.50,-9.12,-3.21,,-0.10,54.41
SW_120,,1.25,-4.42,-2.16,0.34,-7.07,-2.58,-0.10,,36.18
sFC,,32.76,37.51,59.63,37.55,45.13,51.61,54.41,36.18,
