,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.78,1.21,3.26,15.01,9.10,5.13,3.55,10.84
DCC_joint,,2.78,,5.31,0.96,15.97,8.21,3.02,1.19,11.12
DCC_bivariate_loop,,1.21,5.31,,5.34,22.30,14.24,8.50,5.92,19.06
SW_cross_validated,,3.26,0.96,5.34,,12.02,5.67,1.53,0.13,7.20
SW_15,,15.01,15.97,22.30,12.02,,8.34,12.91,12.85,9.50
SW_30,,9.10,8.21,14.24,5.67,8.34,,5.07,5.98,1.12
SW_60,,5.13,3.02,8.50,1.53,12.91,5.07,,1.49,7.29
SW_120,,3.55,1.19,5.92,0.13,12.85,5.98,1.49,,7.81
sFC,,10.84,11.12,19.06,7.20,9.50,1.12,7.29,7.81,
