,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.743,2.347,0.718,0.450,0.341,0.328,0.328,1.087,0.665,1.853,2.260
1,1.292,2.255,0.504,0.351,0.238,0.328,0.328,1.591,0.860,0.965,2.260
2,1.940,2.284,0.559,0.453,0.345,0.328,0.328,1.661,0.932,2.071,2.260
3,1.903,2.472,0.691,0.420,0.253,0.328,0.328,0.484,0.658,2.051,2.260
4,1.519,1.652,0.464,0.441,0.363,0.328,0.328,1.310,0.817,2.160,2.260
5,1.692,2.381,0.684,0.301,0.319,0.328,0.328,1.100,0.386,1.384,2.260
6,1.821,2.337,0.709,0.413,0.302,0.328,0.328,1.790,0.616,0.739,2.260
7,2.020,2.219,0.654,0.353,0.334,0.328,0.328,1.253,0.576,1.963,2.260
8,1.540,1.781,0.605,0.365,0.284,0.328,0.328,1.493,0.375,1.990,2.260
9,1.467,2.467,0.582,0.402,0.328,0.328,0.328,1.362,0.422,2.260,2.260
