,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,0.856,0.870,1.104,1.193,1.198,1.239,1.239,0.903,0.988,0.858,0.848
1,0.860,0.805,0.964,1.000,1.239,1.239,1.239,0.815,0.936,0.861,0.848
2,0.864,0.841,1.070,1.267,1.411,1.239,1.239,0.824,0.984,0.816,0.848
3,0.838,0.811,1.391,1.099,0.960,1.239,1.239,0.798,1.034,0.836,0.848
4,0.852,0.906,1.089,0.991,1.070,1.239,1.239,1.381,1.324,0.812,0.848
5,0.872,0.843,1.104,1.184,1.265,1.239,1.239,0.945,0.907,0.890,0.848
6,0.850,0.787,1.265,1.057,1.152,1.239,1.239,0.754,0.962,0.819,0.848
7,0.820,0.838,1.087,1.339,1.849,1.239,1.239,0.840,0.869,0.832,0.848
8,0.771,0.871,1.100,1.057,1.377,1.239,1.239,1.200,0.965,0.847,0.848
9,0.837,0.765,1.108,1.009,1.239,1.239,1.239,0.815,1.009,0.848,0.848
