,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.040,0.048,0.083,0.107,0.126,0.164,0.223,0.127,0.108,0.090,0.072,0.108
DCC_joint,0.039,0.048,0.146,0.181,0.188,0.197,0.204,0.131,0.180,0.084,0.094,0.136
DCC_bivariate_loop,0.051,0.053,0.085,0.100,0.107,0.120,0.121,0.104,0.098,0.084,0.076,0.091
SW_cross_validated,0.116,0.134,0.152,0.164,0.190,0.198,0.213,0.166,0.168,0.142,0.126,0.161
SW_15,0.276,0.290,0.287,0.282,0.288,0.283,0.290,0.283,0.287,0.284,0.287,0.285
SW_30,0.196,0.210,0.207,0.209,0.212,0.209,0.215,0.207,0.209,0.207,0.206,0.208
SW_60,0.144,0.156,0.152,0.161,0.173,0.197,0.228,0.163,0.164,0.157,0.149,0.168
SW_120,0.120,0.133,0.140,0.177,0.252,0.296,0.315,0.177,0.155,0.141,0.133,0.185
sFC,0.034,0.044,0.247,0.247,0.249,0.248,0.247,0.140,0.284,0.078,0.109,0.175
