,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,4.75,4.37,2.17,6.09,3.11,2.01,5.68,59.06
DCC_joint,,4.75,,0.41,2.49,0.46,2.35,2.58,0.83,20.59
DCC_bivariate_loop,,4.37,0.41,,2.09,0.02,1.93,2.19,0.35,21.99
SW_cross_validated,,2.17,2.49,2.09,,2.60,0.40,0.12,2.22,29.57
SW_15,,6.09,0.46,0.02,2.60,,2.52,2.71,0.49,33.69
SW_30,,3.11,2.35,1.93,0.40,2.52,,0.52,2.08,36.72
SW_60,,2.01,2.58,2.19,0.12,2.71,0.52,,2.33,29.34
SW_120,,5.68,0.83,0.35,2.22,0.49,2.08,2.33,,35.80
sFC,,59.06,20.59,21.99,29.57,33.69,36.72,29.34,35.80,
