,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.29,1.61,2.21,10.33,5.26,2.40,3.50,0.95
DCC_joint,,0.29,,4.39,2.96,19.72,9.62,4.11,7.91,2.10
DCC_bivariate_loop,,1.61,4.39,,5.00,20.74,11.71,6.76,10.45,6.23
SW_cross_validated,,2.21,2.96,5.00,,8.86,3.09,0.17,0.90,2.23
SW_15,,10.33,19.72,20.74,8.86,,7.65,12.00,12.70,19.31
SW_30,,5.26,9.62,11.71,3.09,7.65,,4.30,3.53,8.81
SW_60,,2.40,4.11,6.76,0.17,12.00,4.30,,1.55,3.08
SW_120,,3.50,7.91,10.45,0.90,12.70,3.53,1.55,,6.84
sFC,,0.95,2.10,6.23,2.23,19.31,8.81,3.08,6.84,
