,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,-6.34,-5.53,-5.33,-5.84,-5.54,-5.89,-5.70,-6.26,-5.60,-5.64,-5.64
1,-6.17,-5.61,-5.42,-5.53,-5.72,-5.83,-5.79,-5.93,-5.15,-5.81,-5.81
2,-5.88,-5.55,-5.75,-5.82,-5.46,-6.22,-5.91,-5.94,-5.24,-5.74,-5.95
3,-6.24,-5.53,-5.35,-5.73,-5.83,-6.08,-6.06,-6.35,-5.28,-5.76,-5.59
4,-6.05,-5.35,-5.72,-6.25,-5.96,-5.87,-5.75,-5.75,-5.16,-6.09,-6.15
5,-5.82,-5.79,-5.74,-5.54,-5.53,-5.82,-5.90,-5.79,-5.44,-5.93,-5.80
6,-6.14,-5.72,-5.79,-5.69,-5.64,-5.90,-5.94,-6.04,-5.34,-5.95,-5.95
7,-5.96,-5.68,-5.41,-5.57,-5.90,-6.03,-6.02,-5.99,-5.21,-5.97,-5.94
8,-6.12,-5.38,-5.56,-5.63,-5.47,-5.82,-5.98,-6.03,-5.31,-6.08,-6.08
9,-6.01,-5.69,-5.70,-5.60,-5.50,-6.22,-5.89,-5.66,-5.37,-5.88,-5.76
