,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.420,2.317,0.880,0.299,0.262,0.174,0.174,1.253,0.400,1.440,1.957
1,1.755,2.163,0.697,0.228,0.257,0.174,0.174,0.932,0.376,1.914,1.957
2,1.206,1.942,0.511,0.257,0.358,0.174,0.174,0.431,0.377,1.637,1.957
3,1.623,2.197,0.523,0.439,0.159,0.174,0.174,0.133,0.418,1.356,1.957
4,1.455,2.101,0.732,0.282,0.200,0.174,0.174,0.434,0.408,1.476,1.957
5,1.678,2.094,0.553,0.370,0.268,0.174,0.174,0.230,0.420,1.525,1.957
6,0.907,1.963,0.548,0.315,0.352,0.174,0.174,1.277,0.369,1.766,1.957
7,1.447,2.214,0.542,0.253,0.231,0.174,0.174,1.250,0.406,1.855,1.957
8,0.931,2.216,0.795,0.249,0.279,0.174,0.174,1.697,0.364,1.891,1.957
9,1.201,2.406,0.705,0.319,0.174,0.174,0.174,0.727,0.345,1.957,1.957
