,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.014,0.043,0.107,0.128,0.191,0.224,0.602,0.227,0.214,0.205,0.151,0.191
DCC_joint,0.045,0.023,0.190,0.280,0.322,0.383,0.440,0.290,0.236,0.195,0.181,0.235
DCC_bivariate_loop,0.045,0.028,0.190,0.238,0.271,0.292,0.324,0.253,0.250,0.191,0.154,0.203
SW_cross_validated,0.068,0.156,0.181,0.182,0.235,0.262,0.286,0.233,0.238,0.227,0.155,0.202
SW_15,0.242,0.314,0.309,0.300,0.315,0.314,0.336,0.291,0.308,0.285,0.297,0.301
SW_30,0.166,0.229,0.219,0.225,0.232,0.252,0.298,0.228,0.245,0.229,0.211,0.230
SW_60,0.109,0.172,0.165,0.179,0.265,0.378,0.523,0.231,0.242,0.214,0.156,0.240
SW_120,0.087,0.157,0.160,0.349,0.609,0.785,0.835,0.375,0.281,0.241,0.166,0.368
sFC,0.045,0.012,0.711,0.709,0.709,0.709,0.709,0.386,0.819,0.199,0.304,0.483
