,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,4.12,2.27,1.00,1.48,-0.50,0.75,9.28,9.69
DCC_joint,,4.12,,-4.41,-6.42,-4.80,-10.93,-9.28,13.50,17.55
DCC_bivariate_loop,,2.27,-4.41,,-2.56,-1.33,-6.46,-4.12,18.04,22.95
SW_cross_validated,,1.00,-6.42,-2.56,,0.91,-3.10,-0.64,18.02,21.24
SW_15,,1.48,-4.80,-1.33,0.91,,-3.81,-1.65,15.04,17.17
SW_30,,-0.50,-10.93,-6.46,-3.10,-3.81,,3.28,24.97,31.31
SW_60,,0.75,-9.28,-4.12,-0.64,-1.65,3.28,,26.24,37.80
SW_120,,9.28,13.50,18.04,18.02,15.04,24.97,26.24,,0.64
sFC,,9.69,17.55,22.95,21.24,17.17,31.31,37.80,0.64,
