,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.21,1.26,2.27,10.82,10.02,5.57,3.61,1.26
DCC_joint,,1.21,,0.03,1.01,8.02,6.04,3.01,1.83,0.01
DCC_bivariate_loop,,1.26,0.03,,1.00,8.09,6.13,3.03,1.83,0.04
SW_cross_validated,,2.27,1.01,1.00,,6.43,4.18,1.53,0.60,1.05
SW_15,,10.82,8.02,8.09,6.43,,4.15,6.76,6.90,8.33
SW_30,,10.02,6.04,6.13,4.18,4.15,,4.21,4.53,6.42
SW_60,,5.57,3.01,3.03,1.53,6.76,4.21,,1.10,3.18
SW_120,,3.61,1.83,1.83,0.60,6.90,4.53,1.10,,1.92
sFC,,1.26,0.01,0.04,1.05,8.33,6.42,3.18,1.92,
