,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.0966e-11,9.2238e-12,3.6711e-05,7.5085e-08,1.4861e-04,2.5364e-10,2.3684e-21,1.4911e-23
DCC_joint,,1.0966e-11,,1.7551e-03,2.0000e-10,3.0906e-09,2.5413e-10,3.4328e-04,8.3061e-15,1.3650e-17
DCC_bivariate_loop,,9.2238e-12,1.7551e-03,,1.8389e-10,8.7057e-09,3.6641e-10,2.1450e-01,2.7503e-19,2.1302e-22
SW_cross_validated,,3.6711e-05,2.0000e-10,1.8389e-10,,7.2321e-04,6.7528e-01,1.9696e-08,5.4973e-23,3.5989e-26
SW_15,,7.5085e-08,3.0906e-09,8.7057e-09,7.2321e-04,,6.7948e-04,1.6614e-06,3.2956e-23,6.4237e-27
SW_30,,1.4861e-04,2.5413e-10,3.6641e-10,6.7528e-01,6.7948e-04,,2.6223e-08,4.2581e-22,7.1079e-25
SW_60,,2.5364e-10,3.4328e-04,2.1450e-01,1.9696e-08,1.6614e-06,2.6223e-08,,3.5379e-18,7.2876e-21
SW_120,,2.3684e-21,8.3061e-15,2.7503e-19,5.4973e-23,3.2956e-23,4.2581e-22,3.5379e-18,,1.4735e-15
sFC,,1.4911e-23,1.3650e-17,2.1302e-22,3.5989e-26,6.4237e-27,7.1079e-25,7.2876e-21,1.4735e-15,
