,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-2.98,-2.61,1.24,4.25,-0.17,-1.15,3.50,-1.37
DCC_joint,,-2.98,,-1.19,2.89,4.89,0.71,0.62,5.30,2.13
DCC_bivariate_loop,,-2.61,-1.19,,3.00,5.05,1.23,1.39,4.74,2.06
SW_cross_validated,,1.24,2.89,3.00,,3.58,-0.79,-1.88,1.73,-2.03
SW_15,,4.25,4.89,5.05,3.58,,-3.65,-4.51,-2.75,-4.56
SW_30,,-0.17,0.71,1.23,-0.79,-3.65,,-0.38,1.94,-0.23
SW_60,,-1.15,0.62,1.39,-1.88,-4.51,-0.38,,3.78,0.40
SW_120,,3.50,5.30,4.74,1.73,-2.75,1.94,3.78,,-4.44
sFC,,-1.37,2.13,2.06,-2.03,-4.56,-0.23,0.40,-4.44,
