,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,12.88,4.21,6.59,13.38,7.69,6.18,17.85,23.36
DCC_joint,,12.88,,6.35,2.12,2.94,2.15,3.74,3.69,7.43
DCC_bivariate_loop,,4.21,6.35,,2.79,7.96,3.31,1.95,9.58,12.48
SW_cross_validated,,6.59,2.12,2.79,,4.04,0.20,1.00,4.42,6.23
SW_15,,13.38,2.94,7.96,4.04,,4.24,5.64,0.40,1.64
SW_30,,7.69,2.15,3.31,0.20,4.24,,1.31,4.83,7.06
SW_60,,6.18,3.74,1.95,1.00,5.64,1.31,,6.55,8.93
SW_120,,17.85,3.69,9.58,4.42,0.40,4.83,6.55,,4.07
sFC,,23.36,7.43,12.48,6.23,1.64,7.06,8.93,4.07,
