,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,4.6864e-03,3.4871e-02,2.2649e-12,4.8374e-15,1.1681e-12,2.9346e-10,1.9195e-10,9.8099e-05
DCC_joint,,4.6864e-03,,4.2703e-01,2.8894e-14,8.0444e-16,1.0849e-13,1.4079e-11,5.4979e-12,8.2480e-02
DCC_bivariate_loop,,3.4871e-02,4.2703e-01,,1.7974e-13,1.6171e-15,2.5774e-13,3.9362e-11,1.9413e-11,2.0804e-02
SW_cross_validated,,2.2649e-12,2.8894e-14,1.7974e-13,,4.0866e-11,2.1298e-06,1.4075e-01,8.8905e-01,4.7630e-15
SW_15,,4.8374e-15,8.0444e-16,1.6171e-15,4.0866e-11,,9.0578e-06,5.2605e-09,3.2610e-10,3.7168e-16
SW_30,,1.1681e-12,1.0849e-13,2.5774e-13,2.1298e-06,9.0578e-06,,4.3215e-04,1.4357e-05,3.8859e-14
SW_60,,2.9346e-10,1.4079e-11,3.9362e-11,1.4075e-01,5.2605e-09,4.3215e-04,,2.3366e-01,3.7832e-12
SW_120,,1.9195e-10,5.4979e-12,1.9413e-11,8.8905e-01,3.2610e-10,1.4357e-05,2.3366e-01,,1.2118e-12
sFC,,9.8099e-05,8.2480e-02,2.0804e-02,4.7630e-15,3.7168e-16,3.8859e-14,3.7832e-12,1.2118e-12,
