,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.82,1.37,0.86,3.52,1.23,1.21,3.02,35.14
DCC_joint,,0.82,,0.49,0.06,2.48,0.32,0.24,1.80,28.01
DCC_bivariate_loop,,1.37,0.49,,0.42,2.03,0.20,0.31,1.26,28.23
SW_cross_validated,,0.86,0.06,0.42,,2.37,0.25,0.17,1.68,26.81
SW_15,,3.52,2.48,2.03,2.37,,2.31,2.55,1.09,24.52
SW_30,,1.23,0.32,0.20,0.25,2.31,,0.10,1.57,31.25
SW_60,,1.21,0.24,0.31,0.17,2.55,0.10,,1.83,36.15
SW_120,,3.02,1.80,1.26,1.68,1.09,1.57,1.83,,37.08
sFC,,35.14,28.01,28.23,26.81,24.52,31.25,36.15,37.08,
