,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.18,-2.79,12.76,29.48,19.64,10.76,11.75,8.53
DCC_joint,,5.18,,-8.57,9.48,28.32,17.67,7.40,9.13,3.62
DCC_bivariate_loop,,-2.79,-8.57,,16.42,31.71,22.36,13.70,13.93,12.53
SW_cross_validated,,12.76,9.48,16.42,,23.80,11.69,0.23,4.14,-8.35
SW_15,,29.48,28.32,31.71,23.80,,-12.77,-21.60,-15.34,-28.30
SW_30,,19.64,17.67,22.36,11.69,-12.77,,-9.94,-4.46,-17.26
SW_60,,10.76,7.40,13.70,0.23,-21.60,-9.94,,3.61,-5.83
SW_120,,11.75,9.13,13.93,4.14,-15.34,-4.46,3.61,,-7.99
sFC,,8.53,3.62,12.53,-8.35,-28.30,-17.26,-5.83,-7.99,
