,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.8814,0.2474,0.0000,0.0000,0.0000,0.0000,0.0000,0.1646
DCC_joint,,0.8814,,0.2739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0930
DCC_bivariate_loop,,0.2474,0.2739,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0129
SW_cross_validated,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.2939,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0011,0.0000
SW_120,,0.0000,0.0000,0.0000,0.2939,0.0000,0.0000,0.0011,,0.0000
sFC,,0.1646,0.0930,0.0129,0.0000,0.0000,0.0000,0.0000,0.0000,
