,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.22,1.06,4.20,7.82,4.02,2.39,9.80,11.43
DCC_joint,,5.22,,6.06,1.01,4.96,0.89,1.34,5.41,7.27
DCC_bivariate_loop,,1.06,6.06,,4.87,8.38,4.68,3.18,10.30,11.72
SW_cross_validated,,4.20,1.01,4.87,,3.08,0.07,1.80,1.70,2.00
SW_15,,7.82,4.96,8.38,3.08,,3.10,5.05,2.44,2.33
SW_30,,4.02,0.89,4.68,0.07,3.10,,1.69,1.74,2.04
SW_60,,2.39,1.34,3.18,1.80,5.05,1.69,,4.49,5.04
SW_120,,9.80,5.41,10.30,1.70,2.44,1.74,4.49,,0.67
sFC,,11.43,7.27,11.72,2.00,2.33,2.04,5.04,0.67,
