,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,14.52,-1.91,10.63,35.24,16.61,11.09,9.13,56.33
DCC_joint,,14.52,,-14.19,-1.29,12.27,0.86,-5.05,-6.01,15.79
DCC_bivariate_loop,,-1.91,-14.19,,10.93,30.53,15.85,10.89,9.32,40.20
SW_cross_validated,,10.63,-1.29,10.93,,11.87,2.08,-2.91,-3.80,14.27
SW_15,,35.24,12.27,30.53,11.87,,-11.99,-20.80,-21.29,1.35
SW_30,,16.61,0.86,15.85,2.08,-11.99,,-6.33,-7.30,15.97
SW_60,,11.09,-5.05,10.89,-2.91,-20.80,-6.33,,-1.29,29.31
SW_120,,9.13,-6.01,9.32,-3.80,-21.29,-7.30,-1.29,,29.01
sFC,,56.33,15.79,40.20,14.27,1.35,15.97,29.31,29.01,
