,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,9.20,35.29,248.09,104.37,52.65,24.39,16.69
DCC_bivariate_loop,,,9.20,,26.99,172.12,83.34,44.19,20.93,7.90
SW_cross_validated,,,35.29,26.99,,80.52,36.82,16.57,5.97,19.14
SW_15,,,248.09,172.12,80.52,,50.54,50.88,34.33,133.58
SW_30,,,104.37,83.34,36.82,50.54,,15.06,14.46,67.34
SW_60,,,52.65,44.19,16.57,50.88,15.06,,4.83,36.12
SW_120,,,24.39,20.93,5.97,34.33,14.46,4.83,,17.10
sFC,,,16.69,7.90,19.14,133.58,67.34,36.12,17.10,
