,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,nan,nan,nan,nan,nan,nan,nan,nan
DCC_joint,nan,nan,-,1.,0.0009,0.0000,0.0001,0.0125,0.0155,1.
DCC_bivariate_loop,nan,nan,0.7448,-,0.0003,0.0000,0.0000,0.0057,0.0082,0.6161
SW_cross_validated,nan,nan,-5.5054,-5.9703,-,1.,1.,1.,1.,0.815
SW_15,nan,nan,-8.4916,-9.056,-1.5688,-,1.,1.,1.,0.0224
SW_30,nan,nan,-6.4362,-7.0215,0.2045,2.02,-,1.,1.,0.7288
SW_60,nan,nan,-4.2845,-4.6366,0.002,1.2995,-0.1652,-,1.,1.
SW_120,nan,nan,-4.1885,-4.4773,-0.5681,0.5161,-0.7437,-0.5176,-,0.8749
sFC,nan,nan,-2.0986,-2.5066,2.371,4.0216,2.4254,2.0367,2.3362,-
