,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,14.73,45.72,156.67,54.94,37.17,23.00,24.76
DCC_bivariate_loop,,,14.73,,40.42,149.94,51.04,34.24,21.01,17.42
SW_cross_validated,,,45.72,40.42,,41.42,17.77,11.23,6.10,23.32
SW_15,,,156.67,149.94,41.42,,11.03,11.42,9.76,85.20
SW_30,,,54.94,51.04,17.77,11.03,,2.63,3.76,37.81
SW_60,,,37.17,34.24,11.23,11.42,2.63,,1.67,25.92
SW_120,,,23.00,21.01,6.10,9.76,3.76,1.67,,15.99
sFC,,,24.76,17.42,23.32,85.20,37.81,25.92,15.99,
