,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,6.77,28.90,69.86,90.68,39.05,17.44,15.84
DCC_bivariate_loop,,,6.77,,25.12,63.36,76.61,35.47,16.05,11.04
SW_cross_validated,,,28.90,25.12,,22.90,17.07,10.02,4.60,14.84
SW_15,,,69.86,63.36,22.90,,11.38,10.41,6.97,44.58
SW_30,,,90.68,76.61,17.07,11.38,,3.12,2.86,44.05
SW_60,,,39.05,35.47,10.02,10.41,3.12,,1.20,25.12
SW_120,,,17.44,16.05,4.60,6.97,2.86,1.20,,12.07
sFC,,,15.84,11.04,14.84,44.58,44.05,25.12,12.07,
