,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.51,0.46,13.11,7.21,3.19,1.24,-2.72
DCC_bivariate_loop,,,0.51,,-0.05,13.39,7.04,2.76,0.76,-3.42
SW_cross_validated,,,0.46,-0.05,,13.14,6.96,2.76,0.80,-3.31
SW_15,,,13.11,13.39,13.14,,-7.53,-14.37,-12.30,-18.65
SW_30,,,7.21,7.04,6.96,-7.53,,-5.62,-6.10,-11.46
SW_60,,,3.19,2.76,2.76,-14.37,-5.62,,-1.83,-7.06
SW_120,,,1.24,0.76,0.80,-12.30,-6.10,-1.83,,-4.18
sFC,,,-2.72,-3.42,-3.31,-18.65,-11.46,-7.06,-4.18,
