,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,nan,nan,nan,nan,nan,nan,nan,nan
DCC_joint,nan,nan,-,1.,0.6382,0.0000,0.0000,0.0000,0.0026,1.
DCC_bivariate_loop,nan,nan,-1.4987,-,1.,0.0000,0.0000,0.0000,0.008,1.
SW_cross_validated,nan,nan,-2.4897,-1.6074,-,0.0000,0.0001,0.17,1.,1.
SW_15,nan,nan,-16.8499,-18.9971,-11.7128,-,0.0001,0.0000,0.0000,0.0000
SW_30,nan,nan,-10.9721,-11.8887,-6.6538,6.478,-,0.0018,0.0005,0.0000
SW_60,nan,nan,-7.1138,-7.3326,-3.1082,12.1256,5.1691,-,1.,0.0008
SW_120,nan,nan,-4.9915,-4.4873,-1.7525,11.8725,5.8237,1.4731,-,0.0194
sFC,nan,nan,0.0193,1.1686,2.1503,13.6105,8.8164,5.5564,4.0872,-
