,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,8.1792e-14,7.6850e-25,3.3267e-33,1.0769e-33,7.0252e-27,1.3117e-17,8.0312e-14
DCC_bivariate_loop,,,8.1792e-14,,4.9938e-21,2.8415e-32,6.1641e-32,1.6167e-25,2.2013e-16,1.0879e-03
SW_cross_validated,,,7.6850e-25,4.9938e-21,,3.1040e-31,1.8980e-30,1.7109e-22,6.8552e-12,6.6191e-23
SW_15,,,3.3267e-33,2.8415e-32,3.1040e-31,,1.5749e-23,9.2467e-26,1.8700e-21,7.5051e-33
SW_30,,,1.0769e-33,6.1641e-32,1.8980e-30,1.5749e-23,,3.2715e-20,1.8306e-16,3.7546e-33
SW_60,,,7.0252e-27,1.6167e-25,1.7109e-22,9.2467e-26,3.2715e-20,,4.6552e-08,3.8179e-26
SW_120,,,1.3117e-17,2.2013e-16,6.8552e-12,1.8700e-21,1.8306e-16,4.6552e-08,,1.0863e-16
sFC,,,8.0312e-14,1.0879e-03,6.6191e-23,7.5051e-33,3.7546e-33,3.8179e-26,1.0863e-16,
