,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,1.2644e-15,9.7586e-23,1.1464e-39,1.6624e-36,2.5401e-32,8.4629e-22,8.0432e-01
DCC_bivariate_loop,,,1.2644e-15,,5.0060e-19,4.1691e-39,1.1415e-35,4.5935e-31,3.9323e-20,1.4255e-15
SW_cross_validated,,,9.7586e-23,5.0060e-19,,1.0248e-37,1.1295e-33,4.3042e-28,4.2263e-16,9.9569e-23
SW_15,,,1.1464e-39,4.1691e-39,1.0248e-37,,1.4993e-33,7.6443e-37,8.1803e-30,1.0855e-39
SW_30,,,1.6624e-36,1.1415e-35,1.1295e-33,1.4993e-33,,3.9364e-30,2.6603e-24,1.5685e-36
SW_60,,,2.5401e-32,4.5935e-31,4.3042e-28,7.6443e-37,3.9364e-30,,8.7073e-16,2.4359e-32
SW_120,,,8.4629e-22,3.9323e-20,4.2263e-16,8.1803e-30,2.6603e-24,8.7073e-16,,8.6666e-22
sFC,,,8.0432e-01,1.4255e-15,9.9569e-23,1.0855e-39,1.5685e-36,2.4359e-32,8.6666e-22,
