,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,nan,nan,nan,nan,nan,nan,nan,nan
DCC_joint,nan,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,nan,-23.9813,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,nan,-56.078,-30.9731,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,nan,-316.2402,-294.0781,-273.0646,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,nan,-266.6881,-238.1105,-211.3615,105.0356,-,0.0000,0.0000,0.0000
SW_60,nan,nan,-171.8554,-144.4007,-115.5077,184.1496,98.2606,-,0.0000,0.0000
SW_120,nan,nan,-40.3171,-32.1798,-21.7597,95.5514,51.4933,17.1651,-,0.0000
sFC,nan,nan,-0.3571,24.2803,57.287,320.8022,273.1332,176.1727,40.3214,-
