,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,13.46,37.18,261.91,166.89,79.90,20.96,0.06
DCC_bivariate_loop,,,13.46,,24.51,261.85,161.75,71.53,17.02,13.40
SW_cross_validated,,,37.18,24.51,,249.86,144.76,54.94,10.39,37.12
SW_15,,,261.91,261.85,249.86,,105.32,130.42,57.39,261.87
SW_30,,,166.89,161.75,144.76,105.32,,51.44,28.14,166.84
SW_60,,,79.90,71.53,54.94,130.42,51.44,,9.12,79.85
SW_120,,,20.96,17.02,10.39,57.39,28.14,9.12,,20.95
sFC,,,0.06,13.40,37.12,261.87,166.84,79.85,20.95,
