,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,25.20,29.29,15.64,15.24,14.57,21.12,0.30
DCC_bivariate_loop,,,25.20,,1.32,3.49,1.02,0.69,0.96,24.56
SW_cross_validated,,,29.29,1.32,,2.68,0.12,1.59,2.20,28.19
SW_15,,,15.64,3.49,2.68,,1.91,3.22,4.08,15.44
SW_30,,,15.24,1.02,0.12,1.91,,1.41,1.76,15.11
SW_60,,,14.57,0.69,1.59,3.22,1.41,,0.05,14.49
SW_120,,,21.12,0.96,2.20,4.08,1.76,0.05,,20.82
sFC,,,0.30,24.56,28.19,15.44,15.11,14.49,20.82,
