,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,8.1331e-04,7.8561e-05,2.8417e-09,3.7606e-03,2.2787e-03,2.0909e-05,8.4406e-01
DCC_bivariate_loop,,,8.1331e-04,,1.9199e-06,6.8764e-10,1.8772e-04,1.2776e-04,2.2585e-06,1.1214e-03
SW_cross_validated,,,7.8561e-05,1.9199e-06,,1.2905e-06,6.0089e-01,4.1645e-01,6.1266e-03,6.7802e-05
SW_15,,,2.8417e-09,6.8764e-10,1.2905e-06,,6.4016e-05,1.3996e-04,2.1897e-02,2.6954e-09
SW_30,,,3.7606e-03,1.8772e-04,6.0089e-01,6.4016e-05,,8.0238e-01,4.1556e-02,3.4175e-03
SW_60,,,2.2787e-03,1.2776e-04,4.1645e-01,1.3996e-04,8.0238e-01,,7.0199e-02,2.0774e-03
SW_120,,,2.0909e-05,2.2585e-06,6.1266e-03,2.1897e-02,4.1556e-02,7.0199e-02,,1.9412e-05
sFC,,,8.4406e-01,1.1214e-03,6.7802e-05,2.6954e-09,3.4175e-03,2.0774e-03,1.9412e-05,
