,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,-44.00,-63.81,-75.65,-59.47,-68.04,-77.87,1.08
DCC_bivariate_loop,,,-44.00,,7.85,6.94,2.08,0.96,2.99,43.82
SW_cross_validated,,,-63.81,7.85,,-1.75,-7.28,-9.44,-7.47,62.32
SW_15,,,-75.65,6.94,-1.75,,-6.15,-8.38,-6.20,73.21
SW_30,,,-59.47,2.08,-7.28,-6.15,,-1.50,0.96,58.68
SW_60,,,-68.04,0.96,-9.44,-8.38,-1.50,,2.76,66.84
SW_120,,,-77.87,2.99,-7.47,-6.20,0.96,2.76,,75.74
sFC,,,1.08,43.82,62.32,73.21,58.68,66.84,75.74,
