,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,1.9189e-16,3.5922e-23,2.6537e-36,4.1633e-33,3.0734e-28,2.0132e-16,7.8977e-01
DCC_bivariate_loop,,,1.9189e-16,,2.8973e-19,4.1836e-36,1.1480e-32,2.8913e-27,9.4425e-15,1.3658e-16
SW_cross_validated,,,3.5922e-23,2.8973e-19,,1.2026e-35,7.9296e-32,1.4419e-25,7.0245e-12,2.2006e-23
SW_15,,,2.6537e-36,4.1836e-36,1.2026e-35,,1.1069e-26,4.1043e-30,1.9033e-23,2.0423e-36
SW_30,,,4.1633e-33,1.1480e-32,7.9296e-32,1.1069e-26,,2.0805e-23,2.2538e-18,3.1992e-33
SW_60,,,3.0734e-28,2.8913e-27,1.4419e-25,4.1043e-30,2.0805e-23,,5.4455e-10,2.5594e-28
SW_120,,,2.0132e-16,9.4425e-15,7.0245e-12,1.9033e-23,2.2538e-18,5.4455e-10,,2.0430e-16
sFC,,,7.8977e-01,1.3658e-16,2.2006e-23,2.0423e-36,3.1992e-33,2.5594e-28,2.0430e-16,
