,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,nan,nan,nan,nan,nan,nan,nan,nan
DCC_joint,nan,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,nan,-44.7687,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,nan,-90.0238,-61.1178,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,nan,-463.4564,-471.2116,-411.4626,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,nan,-292.7023,-286.5479,-239.2544,126.1797,-,0.0000,0.0000,0.0000
SW_60,nan,nan,-145.7172,-131.0193,-100.6152,185.0998,76.2382,-,0.0000,0.0000
SW_120,nan,nan,-36.8889,-29.6433,-19.976,92.1292,47.8577,15.7469,-,0.0000
sFC,nan,nan,-0.5505,40.0828,82.96,447.2852,283.0515,142.3964,36.6684,-
