,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.006,0.017,0.014,0.022,0.012,0.099,0.007,0.032,0.185,0.044
DCC_bivariate_loop,,,0.006,0.011,0.009,0.011,0.007,0.027,0.003,0.057,0.044,0.020
SW_cross_validated,,,0.008,0.018,0.017,0.101,0.111,0.117,0.004,0.047,0.065,0.054
SW_15,,,0.008,0.008,0.007,0.009,0.009,0.022,0.007,0.035,0.021,0.014
SW_30,,,0.009,0.007,0.009,0.010,0.013,0.027,0.004,0.041,0.024,0.016
SW_60,,,0.014,0.012,0.016,0.021,0.023,0.036,0.005,0.044,0.031,0.022
SW_120,,,0.008,0.036,0.064,0.040,0.037,0.041,0.004,0.035,0.052,0.035
sFC,,,,,,,,,,,,
