,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.1647,0.4635,0.0020,0.0000,0.0000,0.0000,0.0001,0.5988
DCC_joint,,0.1647,,0.0019,0.0053,0.0000,0.0000,0.0000,0.0000,0.0012
DCC_bivariate_loop,,0.4635,0.0019,,0.0001,0.0000,0.0000,0.0000,0.0000,0.6639
SW_cross_validated,,0.0020,0.0053,0.0001,,0.0000,0.0000,0.2161,0.9969,0.0001
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0000,0.2161,0.0000,0.0000,,0.0333,0.0000
SW_120,,0.0001,0.0000,0.0000,0.9969,0.0000,0.0000,0.0333,,0.0000
sFC,,0.5988,0.0012,0.6639,0.0001,0.0000,0.0000,0.0000,0.0000,
