,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.035,0.018,0.040,0.034,0.020,0.196,0.004,0.030,0.015,0.012,0.015,0.038
DCC_joint,0.022,0.020,0.029,0.027,0.023,0.030,0.019,0.020,0.035,0.007,0.024,0.023
DCC_bivariate_loop,0.038,0.021,0.018,0.023,0.016,0.027,0.016,0.025,0.017,0.020,0.012,0.021
SW_cross_validated,0.042,0.020,0.032,0.046,0.061,0.098,0.007,0.040,0.024,0.024,0.017,0.037
SW_15,0.020,0.011,0.028,0.029,0.016,0.030,0.025,0.028,0.021,0.024,0.024,0.023
SW_30,0.030,0.016,0.025,0.024,0.017,0.027,0.026,0.024,0.014,0.027,0.020,0.023
SW_60,0.035,0.023,0.027,0.017,0.030,0.018,0.010,0.028,0.012,0.024,0.016,0.022
SW_120,0.037,0.019,0.034,0.019,0.017,0.011,0.009,0.017,0.010,0.030,0.015,0.020
sFC,0.030,0.021,0.003,0.006,0.002,0.003,0.005,0.006,0.001,0.008,0.006,0.008
