,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-2.52,-1.63,14.46,24.77,16.43,13.55,8.92,-2.92
DCC_joint,,-2.52,,0.62,12.24,22.50,15.64,12.68,9.36,-0.31
DCC_bivariate_loop,,-1.63,0.62,,10.80,21.20,14.58,11.51,8.53,-0.91
SW_cross_validated,,14.46,12.24,10.80,,16.01,7.91,2.94,0.69,-12.69
SW_15,,24.77,22.50,21.20,16.01,,-6.06,-11.85,-11.52,-22.86
SW_30,,16.43,15.64,14.58,7.91,-6.06,,-4.88,-5.49,-15.96
SW_60,,13.55,12.68,11.51,2.94,-11.85,-4.88,,-1.42,-13.06
SW_120,,8.92,9.36,8.53,0.69,-11.52,-5.49,-1.42,,-9.66
sFC,,-2.92,-0.31,-0.91,-12.69,-22.86,-15.96,-13.06,-9.66,
