,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.11,0.98,6.80,25.64,16.01,10.43,8.09,0.44
DCC_joint,,0.11,,1.11,8.35,39.24,21.75,13.41,9.96,0.71
DCC_bivariate_loop,,0.98,1.11,,6.26,27.50,16.37,10.19,7.64,1.63
SW_cross_validated,,6.80,8.35,6.26,,18.53,8.82,3.35,1.34,8.44
SW_15,,25.64,39.24,27.50,18.53,,11.66,16.66,16.83,35.01
SW_30,,16.01,21.75,16.37,8.82,11.66,,5.79,7.28,20.53
SW_60,,10.43,13.41,10.19,3.35,16.66,5.79,,1.91,13.09
SW_120,,8.09,9.96,7.64,1.34,16.83,7.28,1.91,,9.95
sFC,,0.44,0.71,1.63,8.44,35.01,20.53,13.09,9.95,
