,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.78,2.44,16.64,54.70,38.02,28.45,17.49,-0.02
DCC_joint,,0.78,,1.98,17.54,60.17,41.56,31.77,18.19,-0.82
DCC_bivariate_loop,,2.44,1.98,,13.04,47.24,32.12,22.68,14.28,-2.49
SW_cross_validated,,16.64,17.54,13.04,,33.51,18.36,7.60,2.43,-16.92
SW_15,,54.70,60.17,47.24,33.51,,-16.18,-31.55,-27.55,-55.74
SW_30,,38.02,41.56,32.12,18.36,-16.18,,-13.55,-13.95,-38.73
SW_60,,28.45,31.77,22.68,7.60,-31.55,-13.55,,-3.96,-29.13
SW_120,,17.49,18.19,14.28,2.43,-27.55,-13.95,-3.96,,-17.72
sFC,,-0.02,-0.82,-2.49,-16.92,-55.74,-38.73,-29.13,-17.72,
