,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.000,0.003,0.000,0.000,0.000,0.000,0.000
DCC_bivariate_loop,,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000
SW_cross_validated,,,0.003,0.000,,0.000,0.003,0.417,0.000,0.023
SW_15,,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
SW_30,,,0.000,0.000,0.003,0.000,,0.010,0.000,0.034
SW_60,,,0.000,0.000,0.417,0.000,0.010,,0.000,0.128
SW_120,,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
sFC,,,0.000,0.000,0.023,0.000,0.034,0.128,0.000,
