,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.029,0.024,0.039,0.038,0.044,0.052,0.163,0.083,0.057,0.054,0.044,0.057
DCC_joint,0.045,0.042,0.131,0.137,0.146,0.151,0.153,0.099,0.155,0.065,0.079,0.109
DCC_bivariate_loop,0.054,0.053,0.072,0.073,0.085,0.094,0.091,0.084,0.079,0.070,0.067,0.075
SW_cross_validated,0.073,0.069,0.101,0.117,0.135,0.149,0.162,0.123,0.123,0.088,0.082,0.111
SW_15,0.252,0.248,0.249,0.243,0.249,0.250,0.247,0.255,0.249,0.251,0.248,0.249
SW_30,0.176,0.171,0.176,0.168,0.175,0.176,0.175,0.181,0.176,0.175,0.173,0.175
SW_60,0.125,0.123,0.126,0.127,0.137,0.148,0.165,0.135,0.129,0.129,0.125,0.134
SW_120,0.101,0.095,0.111,0.129,0.175,0.204,0.214,0.131,0.110,0.111,0.104,0.135
sFC,0.045,0.041,0.168,0.168,0.169,0.170,0.169,0.101,0.192,0.065,0.085,0.125
